avg_red;avg_green;avg_blue;contrast;homogeneity;label_name
49,29751953;104,5628052;127,0817603;59,4627543;0,372323872;normal
44,3451001;106,7265161;143,8215039;25,80499071;0,468084989;normal
21,57634521;37,08122559;49,31162109;10,69932023;0,796808459;normal
21,47917236;36,91862305;49,0937085;39,55675861;0,788610004;normal
21,48642578;36,78865967;48,90849609;75,26441217;0,779392184;normal
19,50837402;42,57824219;58,24338623;40,14281592;0,738702002;normal
24,86987549;51,01763184;67,59083496;14,31439261;0,748740535;normal
15,84254395;34,62780518;47,40471436;111,7811962;0,738043982;normal
24,4111084;53,77027344;73,38445557;10,5636248;0,722106024;normal
24,7268457;54,04550293;73,66631348;24,94331964;0,68441747;normal
21,455271;45,02813477;60,64953125;92,10650919;0,754368924;normal
16,06262939;38,11188232;50,90206787;94,22689261;0,728305598;normal
39,33609131;105,3599365;139,6418213;11,88571498;0,515159313;normal
23,26922607;45,59175537;62,04895508;11,45411776;0,742844135;normal
15,65837402;35,18622559;46,25241699;72,58304969;0,752647169;normal
16,93858887;38,195354;51,67804688;46,73736307;0,743683113;normal
17,15313232;38,41746094;51,92439453;56,04824433;0,740712464;normal
17,21327393;38,53546143;53,03932861;7,685460681;0,780902716;normal
17,32977783;38,5410498;52,99069824;48,75519855;0,761066008;normal
17,40091309;38,68736816;53,17200928;21,72149354;0,784800525;normal
20,48070313;42,25039795;60,26979736;20,99076193;0,685657541;normal
18,33681152;41,25673828;54,183125;40,49881896;0,730636478;normal
24,28209229;40,79371094;54,55623779;7,196728286;0,761648828;normal
20,11471436;39,42762451;49,59368896;5,756323357;0,849162812;normal
15,66369385;35,07839844;50,42156006;8,883695227;0,760212168;normal
15,96561768;35,32808838;49,4456665;29,66515552;0,769971419;normal
15,70736572;35,1119873;49,2342041;7,036614828;0,777784631;normal
16,09665283;35,31530273;49,32450195;109,8069444;0,731953111;normal
19,92626465;42,31442627;57,16493896;92,28676643;0,730034752;normal
22,04342529;48,36884277;66,2672998;54,3325313;0,701746708;normal
21,75839844;48,16770996;66,08908691;8,093864926;0,724564991;normal
22,36496826;48,58052246;66,43916748;99,90881504;0,6784695;normal
12,1213623;27,48796143;40,23721191;89,40425469;0,781428108;normal
16,27859375;40,62371338;54,6428418;9,788822868;0,736931894;normal
18,24652588;35,59270264;44,69003662;60,8086072;0,812530896;normal
12,17297119;26,40318359;37,28650391;27,41396714;0,786446142;normal
16,67531982;37,05682129;52,40126221;100,6091451;0,71219718;normal
16,0248877;36,58627197;52,02751221;10,58695227;0,747625367;normal
19,81998291;46,4960376;66,06672363;42,13153609;0,735179222;normal
20,20316895;46,67946533;66,09903076;112,1517997;0,701306479;normal
14,30525146;32,89868164;45,80500488;82,16609937;0,745404214;normal
36,86159424;72,30717041;96,4470874;172,0091451;0,572071233;normal
36,48888672;72,24901367;96,59970459;29,05772203;0,625311707;normal
19,40696045;40,85124756;56,24915039;111,7512813;0,706446173;normal
11,76686523;28,17959229;37,841604;14,85891774;0,812858972;normal
17,97817383;35,46824463;44,61290039;10,05726721;0,8451883;normal
11,87639893;28,31883545;38,0070459;6,878543134;0,814745317;normal
16,78880859;36,44024658;48,5312085;11,92329812;0,731408195;normal
21,10687744;44,60089111;62,26991943;10,71007923;0,722204938;normal
21,44038574;44,68320801;62,19498535;90,13038194;0,693571435;normal
21,09199219;44,2697583;59,39003418;9,923669797;0,729631616;normal
21,14061035;44,31402344;59,42435791;15,18807218;0,717486511;normal
24,55255127;56,7410083;79,5154126;53,47061815;0,683377075;normal
16,96923096;32,50223877;40,678479;52,26161972;0,843265764;normal
24,01644043;43,57200928;57,87702881;9,953056534;0,770253349;normal
12,0349707;26,74486816;34,94573975;46,42372848;0,845159635;normal
21,44663086;45,10563721;60,75866943;77,08112285;0,758616539;normal
19,53285645;42,1157959;57,09069092;9,005007825;0,765854468;normal
41,5916626;86,20551514;120,4382153;109,5188967;0,353872788;normal
24,4366626;56,77535889;79,61505371;12,46420188;0,700421202;normal
24,55255371;56,57905518;79,19010254;110,7860769;0,66163206;normal
24,95229004;52,84187988;72,53666992;91,68813576;0,640072363;normal
41,19203857;87,28738525;115,8994482;21,56380575;0,608087353;normal
15,04635742;29,20260742;36,63742432;58,80236209;0,838931752;normal
15,02468994;29,32039551;36,81759033;10,35324726;0,866151081;normal
14,9172876;29,1596582;36,67235596;9,643344092;0,868652146;normal
24,45743164;47,58905762;59,79274658;66,57883901;0,771097802;normal
24,29050049;47,56476074;59,80029297;9,416964984;0,813782188;normal
8,472473145;20,00849609;27,10481201;58,60653365;0,838834782;normal
25,114375;48,28614014;60,56710449;71,47044943;0,745961347;normal
26,49269287;49,39968018;68,56959473;16,88415737;0,703061872;normal
20,05816406;39,3763916;49,53472656;21,66474472;0,837184092;normal
20,42229736;39,53432373;49,59782227;70,60699824;0,798153681;normal
14,24397461;27,85439697;35,03900635;73,704152;0,836742722;normal
13,76811768;27,54948242;34,80288574;7,140571205;0,8768087;normal
22,65228516;40,33692871;49,64682129;70,95984448;0,79066762;normal
20,01280029;35,68414063;43,96435791;71,76723396;0,832283541;normal
15,74187256;31,21303955;39,32289795;10,72908842;0,875414638;normal
32,73255615;59,18172363;76,63707275;132,6904074;0,688810616;normal
32,55298584;59,36553223;77,05418701;12,18420383;0,727562373;normal
24,17095459;43,51210693;57,67582275;93,78163146;0,739750134;normal
19,15513428;33,71215332;44,51726318;9,889519757;0,797583734;normal
14,26292725;31,90336914;42,41726074;86,76066119;0,766776511;normal
13,85556641;31,67002441;42,23801025;7,590625;0,797191391;normal
12,13442139;27,44389893;36,2095874;30,02853091;0,81794713;normal
7,957050781;17,68034912;25,28839355;8,698743153;0,855304855;normal
8,002612305;17,74148926;25,33334473;11,01435837;0,851898973;normal
8,261162109;17,90295166;25,44294922;53,62835485;0,840219801;normal
10,3925708;23,36961182;30,83271729;6,269004304;0,847010136;normal
10,33790527;23,20508057;30,610354;42,50639182;0,836648297;normal
9,552741699;20,97624023;29,78875732;12,15177523;0,851021678;normal
9,668828125;21,06010986;29,84394775;30,47774844;0,845908771;normal
8,592443848;20,11400879;27,18808105;63,51199139;0,837087874;normal
8,246638184;19,86797852;26,99923096;9,114509977;0,852496305;normal
13,55408691;30,90317383;41,19587891;6,936795775;0,805168849;normal
14,08537354;31,26943359;41,46773682;89,7378081;0,761099079;normal
18,56847656;41,7435083;55,23359375;12,47102406;0,768587287;normal
10,62812744;23,92438477;31,80712158;16,07503423;0,835365725;normal
10,43603516;23,77579102;31,67721191;7,584238067;0,841786225;normal
27,20616455;49,12256592;67,4780249;46,2510759;0,744456601;normal
10,690354;23,90234863;31,7298584;75,309375;0,818298578;normal
